p0,p1,p2,p3
15,5,11,0
15,3,2,0
15,3,6,0
15,3,7,0
15,3,11,0
15,4,0,0
15,4,1,0
15,4,2,0
15,4,6,0
17,0,7,0
17,0,11,0
17,1,0,0
17,1,1,0
17,1,2,0
17,1,6,0
17,1,7,0
17,1,11,0
16,5,2,0
16,5,6,0
16,5,7,0
16,5,11,0
17,0,0,0
17,0,1,0
17,0,2,0
17,0,6,0
16,4,0,0
16,4,1,0
16,4,2,0
16,4,6,0
16,4,7,0
16,4,11,0
16,5,0,0
16,5,1,0
16,2,7,0
16,2,11,0
16,3,0,0
16,3,1,0
16,3,2,0
16,3,6,0
16,3,7,0
16,3,11,0
18,0,0,0
18,0,1,0
18,0,2,0
18,0,6,0
18,0,7,0
18,0,11,0
18,1,0,0
18,1,1,0
17,4,7,0
17,4,11,0
17,5,0,0
17,5,1,0
17,5,2,0
17,5,6,0
17,5,7,0
17,5,11,0
17,3,2,0
17,3,6,0
17,3,7,0
17,3,11,0
17,4,0,0
17,4,1,0
17,4,2,0
17,4,6,0
17,2,0,0
17,2,1,0
17,2,2,0
17,2,6,0
17,2,7,0
17,2,11,0
17,3,0,0
17,3,1,0
19,4,7,0
19,4,11,0
19,5,0,0
19,5,1,0
19,5,2,0
19,5,6,0
19,5,7,0
2,3,11,0
19,3,2,0
19,3,6,0
19,3,7,0
19,3,11,0
19,4,0,0
19,4,1,0
19,4,2,0
19,4,6,0
19,2,0,0
19,2,1,0
19,2,2,0
19,2,6,0
19,2,7,0
19,2,11,0
19,3,0,0
19,3,1,0
19,0,7,0
19,0,11,0
19,1,0,0
19,1,1,0
19,1,2,0
19,1,6,0
19,1,7,0
19,1,11,0
4,2,0,0
4,2,1,0
4,2,2,0
4,2,6,0
4,2,7,0
4,2,11,0
4,3,0,0
4,3,1,0
4,0,7,0
4,0,11,0
4,1,0,0
4,1,1,0
4,1,2,0
4,1,6,0
4,1,7,0
4,1,11,0
2,5,2,0
2,5,6,0
2,5,7,0
2,5,11,0
4,0,0,0
4,0,1,0
4,0,2,0
4,0,6,0
2,4,0,0
2,4,1,0
2,4,2,0
2,4,6,0
2,4,7,0
2,4,11,0
2,5,0,0
2,5,1,0
